date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc,,,,,,,,,,,,,
21:58.0,10,2000,1600,26000,28000,86.00%,32.22%,86.00%,86.00%,86.00%,85.99%,88.25%,,,,,,,,,,,,,
49:34.7,1,2000,1600,28000,30000,89.50%,28.35%,89.50%,89.50%,89.50%,89.50%,89.50%,,,,,,,,,,,,,
17:13.2,2,2000,1600,28000,30000,87.50%,38.40%,87.50%,87.50%,87.50%,87.50%,88.50%,,,,,,,,,,,,,
44:42.3,3,2000,1600,28000,30000,89.00%,29.16%,89.00%,89.00%,89.00%,88.84%,88.67%,,,,,,,,,,,,,
12:11.7,4,2000,1600,28000,30000,89.50%,27.81%,89.50%,89.50%,89.50%,89.42%,88.87%,,,,,,,,,,,,,
39:45.1,5,2000,1600,28000,30000,85.50%,36.02%,85.50%,85.50%,85.50%,85.50%,88.20%,,,,,,,,,,,,,
07:10.6,6,2000,1600,28000,30000,86.50%,37.52%,86.50%,86.50%,86.50%,86.46%,87.92%,,,,,,,,,,,,,
34:40.6,7,2000,1600,28000,30000,91.50%,24.44%,91.50%,91.50%,91.50%,91.47%,88.43%,,,,,,,,,,,,,
02:19.9,8,2000,1600,28000,30000,85.00%,47.68%,85.00%,85.00%,85.00%,84.55%,88.00%,,,,,,,,,,,,,
30:03.7,9,2000,1600,28000,30000,59.50%,82.09%,59.50%,59.50%,59.50%,48.93%,84.83%,,,,,,,,,,,,,
58:08.2,10,2000,1600,28000,30000,88.50%,31.41%,88.50%,88.50%,88.50%,88.32%,85.20%,,,,,,,,,,,,,
25:45.9,1,2000,1600,30000,32000,84.50%,36.47%,84.50%,84.50%,84.50%,84.25%,84.50%,,,,,,,,,,,,,
53:08.6,2,2000,1600,30000,32000,83.50%,34.07%,83.50%,83.50%,83.50%,83.09%,84.00%,,,,,,,,,,,,,
20:36.5,3,2000,1600,30000,32000,84.50%,49.71%,84.50%,84.50%,84.50%,83.75%,84.17%,,,,,,,,,,,,,
48:09.5,4,2000,1600,30000,32000,88.50%,30.85%,88.50%,88.50%,88.50%,88.42%,85.25%,,,,,,,,,,,,,
15:33.1,5,2000,1600,30000,32000,87.00%,36.25%,87.00%,87.00%,87.00%,86.74%,85.60%,,,,,,,,,,,,,
43:12.7,6,2000,1600,30000,32000,80.00%,46.41%,80.00%,80.00%,80.00%,79.98%,84.67%,,,,,,,,,,,,,
10:53.6,7,2000,1600,30000,32000,85.50%,38.45%,85.50%,85.50%,85.50%,85.47%,84.79%,,,,,,,,,,,,,
38:31.6,8,2000,1600,30000,32000,86.50%,40.82%,86.50%,86.50%,86.50%,86.17%,85.00%,,,,,,,,,,,,,
06:10.9,9,2000,1600,30000,32000,87.50%,28.98%,87.50%,87.50%,87.50%,87.36%,85.28%,,,,,,,,,,,,,
33:47.3,10,2000,1600,30000,32000,84.00%,37.22%,84.00%,84.00%,84.00%,83.77%,85.15%,,,,,,,,,,,,,
01:37.5,1,2000,1600,32000,34000,79.00%,54.51%,79.00%,79.00%,79.00%,77.21%,79.00%,,,,,,,,,,,,,
29:06.1,2,2000,1600,32000,34000,86.00%,32.38%,86.00%,86.00%,86.00%,85.83%,82.50%,,,,,,,,,,,,,
56:52.6,3,2000,1600,32000,34000,86.50%,30.50%,86.50%,86.50%,86.50%,86.38%,83.83%,,,,,,,,,,,,,
24:26.1,4,2000,1600,32000,34000,87.50%,30.30%,87.50%,87.50%,87.50%,87.45%,84.75%,,,,,,,,,,,,,
52:02.2,5,2000,1600,32000,34000,81.50%,41.09%,81.50%,81.50%,81.50%,80.60%,84.10%,,,,,,,,,,,,,
19:36.1,6,2000,1600,32000,34000,86.00%,31.53%,86.00%,86.00%,86.00%,85.95%,84.42%,,,,,,,,,,,,,
47:17.7,7,2000,1600,32000,34000,45.50%,69.89%,45.50%,45.50%,45.50%,31.27%,78.86%,,,,,,,,,,,,,
14:56.9,8,2000,1600,32000,34000,84.50%,35.57%,84.50%,84.50%,84.50%,84.49%,79.56%,,,,,,,,,,,,,
42:27.3,9,2000,1600,32000,34000,88.00%,34.61%,88.00%,88.00%,88.00%,88.00%,80.50%,,,,,,,,,,,,,
09:57.6,10,2000,1600,32000,34000,87.00%,27.02%,87.00%,87.00%,87.00%,86.98%,81.15%,,,,,,,,,,,,,
37:45.7,1,2000,1600,34000,36000,90.00%,31.53%,90.00%,90.00%,90.00%,89.99%,90.00%,,,,,,,,,,,,,
05:21.2,2,2000,1600,34000,36000,83.50%,50.03%,83.50%,83.50%,83.50%,83.28%,86.75%,,,,,,,,,,,,,
