date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc,,,,,,,,,,,,,
44:35.4,4,500,541,16000,16500,82.00%,35.09%,82.00%,82.00%,82.00%,81.82%,84.25%,,,,,,,,,,,,,
49:20.9,5,500,541,16000,16500,78.00%,43.33%,78.00%,78.00%,78.00%,77.68%,83.00%,,,,,,,,,,,,,
54:05.3,1,500,525,16500,17000,84.00%,42.28%,84.00%,84.00%,84.00%,83.90%,84.00%,,,,,,,,,,,,,
58:44.6,2,500,525,16500,17000,83.00%,42.73%,83.00%,83.00%,83.00%,82.96%,83.50%,,,,,,,,,,,,,
03:25.3,3,500,525,16500,17000,80.00%,40.36%,80.00%,80.00%,80.00%,79.87%,82.33%,,,,,,,,,,,,,
08:03.3,4,500,525,16500,17000,84.00%,40.09%,84.00%,84.00%,84.00%,83.94%,82.75%,,,,,,,,,,,,,
12:43.5,5,500,525,16500,17000,80.00%,63.34%,80.00%,80.00%,80.00%,79.17%,82.20%,,,,,,,,,,,,,
17:27.8,1,500,526,17000,17500,88.00%,30.96%,88.00%,88.00%,88.00%,87.96%,88.00%,,,,,,,,,,,,,
22:07.0,2,500,526,17000,17500,83.00%,37.43%,83.00%,83.00%,83.00%,82.49%,85.50%,,,,,,,,,,,,,
26:46.9,3,500,526,17000,17500,86.00%,35.29%,86.00%,86.00%,86.00%,85.80%,85.67%,,,,,,,,,,,,,
31:26.8,4,500,526,17000,17500,82.00%,41.32%,82.00%,82.00%,82.00%,81.40%,84.75%,,,,,,,,,,,,,
36:06.0,5,500,526,17000,17500,77.00%,48.72%,77.00%,77.00%,77.00%,75.72%,83.20%,,,,,,,,,,,,,
40:54.2,1,500,537,17500,18000,79.00%,45.48%,79.00%,79.00%,79.00%,78.38%,79.00%,,,,,,,,,,,,,
45:38.5,2,500,537,17500,18000,75.00%,56.77%,75.00%,75.00%,75.00%,73.85%,77.00%,,,,,,,,,,,,,
50:22.5,3,500,537,17500,18000,85.00%,39.56%,85.00%,85.00%,85.00%,84.93%,79.67%,,,,,,,,,,,,,
55:07.1,4,500,537,17500,18000,84.00%,36.77%,84.00%,84.00%,84.00%,83.84%,80.75%,,,,,,,,,,,,,
59:51.7,5,500,537,17500,18000,86.00%,30.29%,86.00%,86.00%,86.00%,86.00%,81.80%,,,,,,,,,,,,,
04:38.0,1,500,534,18000,18500,75.00%,52.44%,75.00%,75.00%,75.00%,74.80%,75.00%,,,,,,,,,,,,,
09:20.3,2,500,534,18000,18500,75.00%,59.76%,75.00%,75.00%,75.00%,74.69%,75.00%,,,,,,,,,,,,,
14:02.6,3,500,534,18000,18500,68.00%,68.24%,68.00%,68.00%,68.00%,66.67%,72.67%,,,,,,,,,,,,,
18:44.8,4,500,534,18000,18500,80.00%,43.42%,80.00%,80.00%,80.00%,79.99%,74.50%,,,,,,,,,,,,,
23:26.5,5,500,534,18000,18500,81.00%,45.77%,81.00%,81.00%,81.00%,80.98%,75.80%,,,,,,,,,,,,,
28:17.0,1,500,543,18500,19000,86.00%,49.50%,86.00%,86.00%,86.00%,85.95%,86.00%,,,,,,,,,,,,,
33:03.0,2,500,543,18500,19000,85.00%,36.43%,85.00%,85.00%,85.00%,84.82%,85.50%,,,,,,,,,,,,,
37:49.0,3,500,543,18500,19000,90.00%,28.18%,90.00%,90.00%,90.00%,90.00%,87.00%,,,,,,,,,,,,,
42:36.4,4,500,543,18500,19000,82.00%,44.64%,82.00%,82.00%,82.00%,81.88%,85.75%,,,,,,,,,,,,,
47:22.8,5,500,543,18500,19000,92.00%,25.90%,92.00%,92.00%,92.00%,92.00%,87.00%,,,,,,,,,,,,,
52:15.3,1,500,547,19000,19500,86.00%,34.51%,86.00%,86.00%,86.00%,85.98%,86.00%,,,,,,,,,,,,,
57:03.8,2,500,547,19000,19500,83.00%,45.46%,83.00%,83.00%,83.00%,82.36%,84.50%,,,,,,,,,,,,,
01:52.3,3,500,547,19000,19500,84.00%,38.10%,84.00%,84.00%,84.00%,83.94%,84.33%,,,,,,,,,,,,,
06:41.5,4,500,547,19000,19500,84.00%,35.36%,84.00%,84.00%,84.00%,83.77%,84.25%,,,,,,,,,,,,,
11:29.3,5,500,547,19000,19500,89.00%,33.58%,89.00%,89.00%,89.00%,89.00%,85.20%,,,,,,,,,,,,,
16:17.4,1,500,540,19500,20000,83.00%,41.70%,83.00%,83.00%,83.00%,82.49%,83.00%,,,,,,,,,,,,,
21:02.9,2,500,540,19500,20000,84.00%,38.70%,84.00%,84.00%,84.00%,83.68%,83.50%,,,,,,,,,,,,,
25:47.6,3,500,540,19500,20000,81.00%,60.02%,81.00%,81.00%,81.00%,79.51%,82.67%,,,,,,,,,,,,,
30:33.5,4,500,540,19500,20000,86.00%,33.60%,86.00%,86.00%,86.00%,85.86%,83.50%,,,,,,,,,,,,,
35:17.7,5,500,540,19500,20000,88.00%,38.07%,88.00%,88.00%,88.00%,87.92%,84.40%,,,,,,,,,,,,,
40:13.5,1,500,557,20000,20500,79.00%,60.13%,79.00%,79.00%,79.00%,79.00%,79.00%,,,,,,,,,,,,,
45:05.5,2,500,557,20000,20500,85.00%,41.33%,85.00%,85.00%,85.00%,84.31%,82.00%,,,,,,,,,,,,,
49:57.2,3,500,557,20000,20500,83.00%,39.15%,83.00%,83.00%,83.00%,81.87%,82.33%,,,,,,,,,,,,,
54:49.7,4,500,557,20000,20500,84.00%,37.27%,84.00%,84.00%,84.00%,83.46%,82.75%,,,,,,,,,,,,,
59:40.9,5,500,557,20000,20500,86.00%,39.53%,86.00%,86.00%,86.00%,85.29%,83.40%,,,,,,,,,,,,,
04:31.3,1,500,543,20500,21000,88.00%,39.89%,88.00%,88.00%,88.00%,87.96%,88.00%,,,,,,,,,,,,,
09:17.9,2,500,543,20500,21000,84.00%,37.97%,84.00%,84.00%,84.00%,83.84%,86.00%,,,,,,,,,,,,,
